Fri, 22 May 2009 07:06:36 INFO Load CPTLOINC Map
Fri, 22 May 2009 07:06:36 INFO Total 186 CPT_Loinc_map records in file
Fri, 22 May 2009 07:06:37 INFO Done on saving into esp_cptloincmap table.
Fri, 22 May 2009 07:12:45 INFO Done on Adding new loinc to esp_lx table
Fri, 22 May 2009 07:12:45 INFO deleted cptcmpt_list and dic
Fri, 22 May 2009 07:12:45 INFO ## Correct CPTLOINC Map in esp_lx table
Fri, 22 May 2009 07:12:45 INFO # got all case objects
Fri, 22 May 2009 07:12:45 INFO # created caselxid_dict of len 3552
Fri, 22 May 2009 07:12:45 INFO # created cptmap of len 186
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62592615
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62592825
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62593229
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62594453
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62595123
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62596616
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62597269
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62721536
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62728920
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62730543
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62799035
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62814161
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62879422
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62912143
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62957499
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62958443
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62962798
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=62963324
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63096396
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63099070
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63100556
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63100569
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63102345
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63102697
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63103168
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63307390
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63322791
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63457349
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63464646
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63465745
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63467226
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63467309
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63467699
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63468115
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63469335
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63469829
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63472195
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63620463
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63620996
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63621445
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63622583
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63623198
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63758254
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63759644
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63760111
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63762426
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63762915
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63762974
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63765081
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63765246
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63767989
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63768250
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826677
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826681
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826683
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826788
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826790
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826793
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826836
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826872
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826890
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826895
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826924
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826935
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63826939
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827086
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827281
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827323
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827415
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827466
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827477
Fri, 22 May 2009 07:28:10 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=63827613
