321	Chlamydia	683870430	0	1
329	Chlamydia	000041963	0	1
10	Chlamydia	007811496	0	1
11	Chlamydia	538080040	0	1
12	Chlamydia	525494085	0	1
13	Chlamydia	498840093	0	1
14	Chlamydia	498840729	0	1
15	Chlamydia	662670416	0	1
16	Chlamydia	505960011	0	1
17	Chlamydia	672960087	0	1
18	Chlamydia	548680191	0	1
19	Chlamydia	530020271	0	1
367	Gonorrhea	551545852	0	1
366	Gonorrhea	551546164	0	1
363	Gonorrhea	005550815	0	1
362	Gonorrhea	005550814	0	1
109	Chlamydia	545691840	0	1
108	Chlamydia	591031000	0	1
101	Chlamydia	597720940	0	1
100	Chlamydia	153380527	0	1
103	Chlamydia	530020212	0	1
102	Chlamydia	575750017	0	1
105	Chlamydia	548680023	0	1
104	Chlamydia	543480575	0	1
107	Chlamydia	170220186	0	1
106	Chlamydia	633040689	0	1
299	Chlamydia	591150029	0	1
298	Chlamydia	591150030	0	1
291	Chlamydia	511292162	0	1
290	Chlamydia	511293491	0	1
293	Chlamydia	007811496	0	1
292	Chlamydia	501110788	0	1
295	Chlamydia	511293590	0	1
294	Chlamydia	511293564	0	1
297	Chlamydia	552890964	0	1
296	Chlamydia	117220788	0	1
2	Chlamydia	551900731	0	1
3	Chlamydia	664660080	0	1
1	Chlamydia	651620527	0	1
6	Chlamydia	545693335	0	1
7	Chlamydia	545691861	0	1
585	Gonorrhea	551542017	0	1
584	Gonorrhea	127830117	0	1
587	Gonorrhea	499903660	0	1
586	Gonorrhea	551542019	0	1
581	Gonorrhea	134110112	0	1
582	Gonorrhea	134110154	0	1
589	Gonorrhea	000151177	0	1
588	Gonorrhea	000151117	0	1
490	Gonorrhea	007813209	0	1
497	Gonorrhea	545693335	0	1
496	Gonorrhea	545691861	0	1
356	Gonorrhea	545695584	0	1
601	Gonorrhea	551752125	0	1
134	Chlamydia	451520000	0	1
135	Chlamydia	621525000	0	1
136	Chlamydia	677079900	0	1
137	Chlamydia	647250113	0	1
130	Chlamydia	558350404	0	1
131	Chlamydia	904042800	0	1
132	Chlamydia	182103500	0	1
133	Chlamydia	548420069	0	1
138	Chlamydia	539783028	0	1
139	Chlamydia	603348200	0	1
648	Gonorrhea	001439931	0	1
649	Gonorrhea	001439930	0	1
342	Chlamydia	545694915	0	1
341	Chlamydia	580160924	0	1
225	Chlamydia	661160289	0	1
220	Chlamydia	498561309	0	1
221	Chlamydia	438060716	0	1
223	Chlamydia	904261800	0	1
400	Gonorrhea	498840638	0	1
401	Gonorrhea	552890821	0	1
402	Gonorrhea	552890823	0	1
403	Gonorrhea	548684858	0	1
346	Gonorrhea	549070717	0	1
344	Gonorrhea	498840684	0	1
340	Chlamydia	545694489	0	1
349	Gonorrhea	004807182	0	1
348	Gonorrhea	000937182	0	1
123	Chlamydia	505460470	0	1
122	Chlamydia	672280032	0	1
121	Chlamydia	672280033	0	1
120	Chlamydia	604290743	0	1
127	Chlamydia	664670230	0	1
126	Chlamydia	578660341	0	1
125	Chlamydia	558870979	0	1
124	Chlamydia	505460450	0	1
129	Chlamydia	664660230	0	1
128	Chlamydia	551754072	0	1
655	Gonorrhea	549070965	0	1
654	Gonorrhea	549070966	0	1
415	Gonorrhea	525494086	0	1
361	Gonorrhea	498561309	0	1
360	Gonorrhea	498561308	0	1
248	Chlamydia	480718200	0	1
249	Chlamydia	746227000	0	1
246	Chlamydia	633040717	0	1
247	Chlamydia	937182000	0	1
244	Chlamydia	511292329	0	1
245	Chlamydia	549070717	0	1
242	Chlamydia	378132300	0	1
243	Chlamydia	662670919	0	1
240	Chlamydia	525550775	0	1
241	Chlamydia	378132200	0	1
332	Chlamydia	597720803	0	1
333	Chlamydia	534030527	0	1
330	Chlamydia	172741400	0	1
331	Chlamydia	118190081	0	1
336	Chlamydia	588640034	0	1
337	Chlamydia	548683923	0	1
334	Chlamydia	551546172	0	1
335	Chlamydia	578660340	0	1
338	Chlamydia	552890841	0	1
339	Chlamydia	552890711	0	1
488	Gonorrhea	007813208	0	1
489	Gonorrhea	007819328	0	1
484	Gonorrhea	007813206	0	1
485	Gonorrhea	007819326	0	1
486	Gonorrhea	007813207	0	1
487	Gonorrhea	007819327	0	1
480	Gonorrhea	438580633	0	1
481	Gonorrhea	438580632	0	1
482	Gonorrhea	438580631	0	1
483	Gonorrhea	438580636	0	1
463	Gonorrhea	548685589	0	1
469	Gonorrhea	572970611	0	1
511	Gonorrhea	001727414	0	1
533	Gonorrhea	438580604	0	1
4	Chlamydia	551545466	0	1
5	Chlamydia	636291236	0	1
563	Gonorrhea	000621525	0	1
562	Gonorrhea	000621520	0	1
8	Chlamydia	680710077	0	1
565	Gonorrhea	552890841	0	1
564	Gonorrhea	552890711	0	1
259	Chlamydia	552890823	0	1
258	Chlamydia	548684858	0	1
255	Chlamydia	687880127	0	1
254	Chlamydia	672280051	0	1
257	Chlamydia	687880709	0	1
256	Chlamydia	687880710	0	1
251	Chlamydia	680710238	0	1
250	Chlamydia	681150135	0	1
253	Chlamydia	126340507	0	1
252	Chlamydia	545692502	0	1
320	Chlamydia	551541913	0	1
323	Chlamydia	663360511	0	1
322	Chlamydia	440710600	0	1
325	Chlamydia	550453194	0	1
324	Chlamydia	558870982	0	1
327	Chlamydia	604290022	0	1
326	Chlamydia	550451226	0	1
328	Chlamydia	529590020	0	1
561	Gonorrhea	000451525	0	1
499	Gonorrhea	551545466	0	1
493	Gonorrhea	004097338	0	1
492	Gonorrhea	004097332	0	1
491	Gonorrhea	007819329	0	1
560	Gonorrhea	000451520	0	1
